Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Portugal,199059.0,206249.0,220785.0,242203.0,240142.0,229435,256226.0,257101.0,289781.0,308590.0,321440.0
Puerto Rico,103376.0,104337.0,103446.0,100958.0,105126.0,103131,106427.0,113567.0,117902.0,120978.0,122522.0
Qatar,161740.0,151732.0,161099.0,183335.0,176371.0,144411,179732.0,235709.0,213003.0,221452.0,222776.0
Republic of the Congo,11891.0,10928.0,11830.0,14781.0,13977.0,11485,13387.0,13967.0,14169.0,14893.0,15281.0
Romania,177878.0,185337.0,210530.0,243651.0,251652.0,252372,286783.0,296928.0,350847.0,384148.0,403395.0
Russia,1356703.0,1280648.0,1575140.0,1653005.0,1695724.0,1488118,1828927.0,2295527.0,2059762.0,2161205.0,2076396.0
Rwanda,8546.0,8695.0,9253.0,9638.0,10349.0,10174,11066.0,13313.0,14331.0,14251.0,14771.0
Saint Kitts and Nevis,957.0,1007.0,1058.0,1076.0,1107.0,884,859.0,981.0,1056.0,1117.0,1129.0
Saint Lucia,1808.0,1869.0,1999.0,2061.0,2095.0,1499,1867.0,2343.0,2430.0,2523.0,2632.0
Saint Vincent and the Grenadines,786.0,814.0,844.0,884.0,910.0,864,888.0,970.0,1071.0,1162.0,1242.0
Samoa,824.0,844.0,885.0,878.0,913.0,869,844.0,833.0,938.0,1068.0,1160.0
San Marino,1420.0,1468.0,1528.0,1656.0,1616.0,1543,1857.0,1833.0,2003.0,2063.0,2047.0
Saudi Arabia,669485.0,666000.0,714994.0,846584.0,838565.0,734271,874157.0,1108571.0,1067583.0,1085358.0,1083749.0
Senegal,17777.0,19035.0,20989.0,23127.0,23405.0,24534,27584.0,27750.0,30625.0,32892.0,34728.0
Serbia,41297.0,42225.0,45973.0,52788.0,53865.0,55874,65830.0,66798.0,81343.0,89074.0,92549.0
Seychelles,1432.0,1568.0,1675.0,1777.0,1867.0,1384,1490.0,2018.0,2187.0,2168.0,2198.0
Sierra Leone,6750.0,6038.0,5823.0,6390.0,6519.0,6682,7165.0,7119.0,6397.0,7653.0,8386.0
Singapore,307999.0,319646.0,343673.0,377124.0,376162.0,349166,436591.0,509018.0,505440.0,547387.0,564774.0
Slovakia,89188.0,90322.0,95944.0,106660.0,105855.0,107646,120672.0,116020.0,132947.0,140636.0,147031.0
Slovenia,42714.0,44279.0,48136.0,53713.0,53916.0,53342,61570.0,59975.0,69168.0,72463.0,75224.0
Solomon Islands,1308.0,1379.0,1470.0,1615.0,1619.0,1536,1523.0,1566.0,1661.0,1777.0,1898.0
Somalia,6841.0,7391.0,8252.0,7873.0,8655.0,8628,9484.0,10203.0,10969.0,12134.0,12994.0
South Africa,346663.0,323493.0,381317.0,405093.0,389245.0,337876,420778.0,406755.0,380592.0,400191.0,410338.0
South Korea,1539212.0,1578816.0,1710197.0,1824251.0,1751046.0,1744456,1942314.0,1799363.0,1839058.0,1869714.0,1790322.0
South Sudan,15326.0,2419.0,1302.0,2687.0,4044.0,5423,5940.0,8037.0,7186.0,5423.0,3998.0
Spain,1206287.0,1242673.0,1321288.0,1432292.0,1403651.0,1288751,1462216.0,1447636.0,1620558.0,1722227.0,1799511.0
Sri Lanka,85091.0,88000.0,94376.0,94484.0,89015.0,84304,88609.0,74584.0,83723.0,98964.0,
Sudan,64534.0,64888.0,48906.0,33590.0,31484.0,35237,35142.0,33517.0,36998.0,28270.0,31506.0
Suriname,5126.0,3317.0,3592.0,3996.0,4016.0,2912,3084.0,3631.0,3445.0,4458.0,4506.0
Sweden,501698.0,514218.0,536084.0,551312.0,532169.0,545148,637187.0,579896.0,585490.0,610118.0,620297.0
Switzerland,693805.0,687771.0,695544.0,725910.0,721867.0,741288,814699.0,828522.0,894867.0,936738.0,947125.0
Syria,,,,,,60043,,,,,
São Tomé and Príncipe,262.0,294.0,325.0,387.0,416.0,476,529.0,546.0,684.0,796.0,864.0
Taiwan,534515.0,543081.0,591687.0,610690.0,613512.0,676861,776965.0,765624.0,757335.0,782441.0,804889.0
Tajikistan,7857.0,6994.0,7535.0,7762.0,8301.0,8134,8934.0,10493.0,11854.0,13544.0,14836.0
Tanzania,47424.0,49774.0,54000.0,54775.0,58797.0,63373,67964.0,74173.0,79138.0,80171.0,85977.0
Thailand,401296.0,413366.0,456357.0,506754.0,543977.0,500462,506195.0,495645.0,515906.0,526411.0,546224.0
Timor-Leste,1590.0,1640.0,1585.0,1556.0,2033.0,2163,3625.0,3209.0,2080.0,2015.0,2115.0
Togo,5756.0,6069.0,6385.0,7033.0,6993.0,7400,8338.0,8144.0,9081.0,9776.0,10023.0
Tonga,438.0,421.0,460.0,481.0,494.0,503,520.0,515.0,512.0,539.0,568.0
Trinidad and Tobago,26841.0,23624.0,23848.0,23889.0,23588.0,20991,24177.0,28510.0,25489.0,25524.0,26467.0
Tunisia,45779.0,44360.0,42167.0,42687.0,41905.0,42494,46813.0,44596.0,48541.0,53063.0,56291.0
Turkey,867054.0,869204.0,859020.0,797707.0,760388.0,717114,807893.0,905800.0,1130062.0,1322405.0,1437406.0
Turkmenistan,44944.0,42876.0,45902.0,49299.0,53035.0,52385,60934.0,77963.0,77876.0,82515.0,89054.0
Tuvalu,37.0,41.0,45.0,48.0,54.0,52,62.0,61.0,63.0,65.0,65.0
Uganda,30122.0,30232.0,31589.0,34126.0,37895.0,37889,42805.0,47276.0,51934.0,56453.0,64277.0
Ukraine,90922.0,93349.0,112064.0,130905.0,153904.0,156566,199835.0,161987.0,178763.0,190426.0,205742.0
United Arab Emirates,370276.0,369255.0,390517.0,427049.0,417990.0,349473,415179.0,502732.0,514130.0,537079.0,548598.0
United Kingdom,2928558.0,2699086.0,2682384.0,2875024.0,2853074.0,2698705,3144079.0,3125404.0,3371118.0,3644636.0,3839180.0
United States,18295000.0,18804900.0,19612100.0,20656525.0,21539975.0,21354125,23681175.0,26006900.0,27720725.0,29184900.0,30507217.0
Uruguay,58218.0,57580.0,65068.0,65370.0,62229.0,53557,60742.0,70600.0,77997.0,80961.0,79731.0
Uzbekistan,85662.0,85658.0,69703.0,58696.0,67294.0,66443,77340.0,90125.0,102634.0,114962.0,132484.0
Vanuatu,774.0,798.0,880.0,928.0,930.0,1008,921.0,1072.0,1158.0,1206.0,1267.0
Venezuela,125449.0,112915.0,115883.0,102021.0,73014.0,42838,56615.0,89013.0,102377.0,119808.0,108511.0
Vietnam,236795.0,252146.0,277071.0,304470.0,331818.0,346310,370076.0,411068.0,433008.0,459472.0,490970.0
Yemen,42444.0,31318.0,26842.0,21606.0,21888.0,20220,19394.0,23534.0,19412.0,19101.0,17401.0
Zambia,21245.0,20965.0,25874.0,26312.0,23309.0,18138,22096.0,29164.0,27578.0,26326.0,28910.0
Zimbabwe,19963.0,20549.0,22040.0,36922.0,26033.0,26878,36016.0,32613.0,35144.0,35224.0,38172.0
