"NOMBRE DEL SUJETO DE APOYO","NOMBRE DEL PROYECTO","MONTO","FOMIX"
"CENTRO PARA LA INNOVACION Y DESARROLLO AGROALIMENTARIO DE MICHOACAN, A.C.","IMPLEMENTACION DEL MODELO CIDAM",50000000,"MICHOACAN"
"UNIVERSIDAD AUTONOMA DE NAYARIT","CONSOLIDACION DEL PROGRAMA DE MAESTRIA EN CIENCIAS BIOLOGICO AGROPECUARIAS DE LA UNIVERSIDAD AUTONOMA DE NAYARIT",1500000,"NAYARIT"
"UNIVERSIDAD AUTONOMA DE NAYARIT","CONSOLIDACION DE LA MAESTRIA EN SALUD PUBLICA DE LA UNIVERSIDAD AUTONOMA DE NAYARIT",750000,"NAYARIT"
"UNIVERSIDAD AUTONOMA DE NAYARIT","LOGRAR LA CONSOLIDACION DEL DOCTORADO INTERINSTITUCIONAL EN DERECHO DE LA UNIVERSIDAD AUTONOMA DE NAYARIT EN EL PADRON PNPC -CONACYT",530000,"NAYARIT"
"UNIVERSIDAD DE COLIMA","FORTALECIMIENTO INTEGRAL DEL LABORATORIO ANECOICO DE RADIOFRECUENCIAS EN EL TECNOPARQUE CLQ",25000000,"COLIMA"
"AGENCIA DE CONSULTORIA Y SERVICIOS EMPRESARIALES DE B.C.S., CONSEMPRE, S.C.","DISENO E IMPLANTACION DE UN SOFTWARE QUE PERMITA LA EXPEDICION DE PERMISOS PARA LA INTRODUCCION DE GANADO, PRODUCTOS Y SUBPRODUCTOS PECUARIOS, ASI COMO TITULOS GANADEROS PARA EL ESTADO DE BAJA CALIFORNIA SUR.",4500000,"BAJA CALIFORNIA SUR"
"GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR/CONSEJO SUDCALIFORNIANO DE CIENCIA Y TECNOLOGIA","SISTEMA DE CONTROL DE GESTIONES PARA LA SEGUNDA INSTANCIA DEL HONORABLE TRIBUNAL SUPERIOR DE JUSTICIA DEL ESTADO DE BAJA CALIFORNIA SUR. ",15497241,"BAJA CALIFORNIA SUR"
"CENTRO DE INVESTIGACION EN QUIMICA APLICADA, A.C. 
","CREACION Y EQUIPAMIENTO DE LA UNIDAD MONTERREY DEL CIQA EN EL PARQUE DE INVESTIGACION E INNOVACION TECNOLOGICA
",13000000,"NUEVO LEON"
"MUSEO DEL ACERO A.C. 
","ADECUACION Y EQUIPAMIENTO DE UN LABORATORIO EN UN CENTRO DE CIENCIA Y TECNOLOGIA EN EL ESTADO DE N.L, DEDICADO A DAR A CONOCER LAS INVESTIGACIONES DE CIENTIFICOS EN CIENCIA BASICA EN LOS AMBITOS DE BIOLOGIA, FISICA, QUIMICA, MEDICINA Y MATEMATICAS. 
",3498948,"NUEVO LEON"
"UNIVERSIDAD DE QUINTANA ROO.","DISENO, CONSTRUCCION, EQUIPAMIENTO Y PUESTA EN MARCHA DEL COMPLEJO CIENTIFICO, TECNOLOGICO Y CULTURAL DENOMINADO PLANETARIO DE PLAYA DEL CARMEN QUINTANA ROO, COMO CUARTO NODO DEL SISTEMA ESTATAL 
DE PLANETARIOS",51481000,"QUINTANA ROO"
"UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO","FORTALECIMIENTO DE LA MAESTRIA EN CIENCIAS AMBIENTALES PARA SU PERMANENCIA EN EL PADRON NACIONAL DE POSGRADOS DE CALIDAD DEL CONACYT.",3680000,"TABASCO"
"UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO","FORTALECIMIENTO DEL PROGRAMA ""DOCTORADO INTERINSTITUCIONAL EN CIENCIAS DE LA COMPUTACION"".",2681824,"TABASCO"
"UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO","FORTALECIMIENTO DE LA MAESTRIA EN ADMINISTRACION DE TECNOLOGIAS DE LA INFORMACION.",4328748.69,"TABASCO"
"INSTITUTO TECNOLOGICO DE VILLAHERMOSA","PROPUESTA PARA EL FORTALECIMIENTO DE LAS PRINCIPALES CATEGORIAS Y SUBCRITERIOS DE EVALUACION PARA EL INGRESO AL PNPC DEL PROGRAMA DE POSGRADO CON ORIENTACION PROFESIONAL: MAESTRIA EN INGENIERIA DEL INSTITUTO  TECNOLOGICO DE VILLAHERMOSA.",2343336,"TABASCO"
"GOBIERNO DE SINALOA/MUNICIPIO DE CULIACAN/ JUNTA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CULIACAN","DESARROLLO E IMPLEMENTACION DE UN SISTEMA PARA LA DESINFECCION DE AGUAS RESIDUALES QUE GARANTICEN LA CALIDAD MICROBIOLOGICA Y AGRONOMICA DEL AGUA, PARA SU REUSO EN LA AGRICULTURA",6000000,"SINALOA"
"CENTRO DE VALIDACION Y TRANSFERENCIA DE TECNOLOGIA DE SINALOA, A.C.","UNIDAD DE INVESTIGACION E
INNOVACION BIOTECNOLOGICAS PARA LA MICROPROPAGACION IN VITRO DE PLANTULAS CON ALTA CALIDAD GENETICA Y FITOSANITARIA EN EL ESTADO DE SINALOA",14505000,"SINALOA"
"FONDO DE INFORMACION Y DOCUMENTACION PARA LA INDUSTRIA.","DESARROLLO Y PUESTA EN MARCHA DE UN CENTRO ESPECIALIZADO EN ALFABETIZACION Y CERTIFICACION DE HABILIDADES DIGITALES",9948251,"AGUASCALIENTES"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","LABORATORIO DE ALTA ESPECIALIDAD EN INGENIERIA ESTADISTICA CON ENFOQUE AL DESARROLLO E INNOVACION DE LA INDUSTRIA AUTOMOTRIZ Y DE AUTOPARTES DEL ESTADO DE AGUASCALIENTES",15000000,"AGUASCALIENTES"
"CENTRO DE TECNOLOGIA AVANZADA (CIATEQ).","FORTALECIMIENTO DE LOS LABORATORIOS DE
CONSTRUCCION MECANICA, TECNOLOGIAS DE INFORMACION Y DE MEDICION PARA EL DISENO  Y MANUFACTURA DE HERRAMENTALES PARA EL SECTOR AUTOMOTRIZ Y DE AUTOPARTES EN CIATEQ AGUASCALIENTES.",10000000,"AGUASCALIENTES"
"CENTRO DE INVESTIGACIONES EN OPTICA, A. C.","CREACION E IMPLEMENTACION DE UN LABORATORIO DE PRUEBAS OPTICAS PARA LA INDUSTRIA AUTOMOTRIZ Y AUTOPARTES.",9998992,"AGUASCALIENTES"
"PARQUE DE INNOVACION AGROBIOTEG, S.C.","DISENO, CONSTRUCCION, ADECUACION DE ESPACIOS, EQUIPAMIENTO Y PUESTA EN MARCHA DE UNA UNIDAD DE BIOTECNOLOGIA EN EL MUNICIPIO DE IRAPUATO, GUANAJUATO",20000000,"GUANAJUATO"
"UNIVERSIDAD DE GUANAJUATO","DISENO, EQUIPAMIENTO Y PUESTA EN MARCHA DE LABORATORIOS Y AREAS DE DESARROLLO CIENTIFICO Y TECNOLOGICO QUE RESPONDAN A LAS DEMANDAS DE LA INDUSTRIA DEL ESTADO EN EL GUANAJUATO TECNO PARQUE DEL MUNICIPIO DE SILAO, GUANAJUATO.",30000000,"GUANAJUATO"
"UNIVERSIDAD AUTONOMA DE QUERETARO","CENTRO DE INVESTIGACION INTERDISCIPLINARIA PARA EL DESARROLLO DE CAPITAL HUMANO  (CIIDECH).",21500000,"QUERETARO"
